theta,rsu
0,0.2986618727074387
1,0.2984136567075008
2,0.29766931112064887
3,0.29642974281732243
4,0.2946964620205582
5,0.2924715804660161
6,0.28975780882915303
7,0.2865584534226845
8,0.2828774121683499
9,0.278719169847897
10,0.2740887926390652
11,0.26899192194322824
12,0.2634347675122166
13,0.25742409988269005
14,0.2509672421272831
15,0.2440720609325681
16,0.23674695701470938
17,0.22900085488448513
18,0.22084319197414531
19,0.2122839071393547
20,0.20333342855022785
21,0.19400266098620977
22,0.184302972550283
23,0.1742461808186841
24,0.1638445384430079
25,0.1531107182222391
26,0.14205779766289833
27,0.13069924304611555
28,0.11904889302103988
29,0.10712094174457779
30,0.09492992158800019
31,0.08249068543148452
32,0.06981838856817073
33,0.05692847023976841
34,0.043836634826221466
35,0.030558832712338682
36,0.01711124085470679
37,0.0035102430725619136
38,0.010227589913371797
39,0.024085520669751198
40,0.03804666544260124
41,0.05209401472756478
42,0.06621045399336736
43,0.08037878453323308
44,0.09458174441886436
45,0.1088020295314385
46,0.12302231464401228
47,0.1372252745296435
48,0.1513936050695096
49,0.16551004433531202
50,0.17955739362027556
51,0.19351853839312566
52,0.20737646914950525
53,0.22111430213543856
54,0.23471529991758355
55,0.24816289177521528
56,0.2614406938890985
57,0.27453252930264527
58,0.2874224476310476
59,0.30009474449436147
60,0.312533980650877
61,0.3247250008074547
62,0.33665295208391666
63,0.3483033021089926
64,0.35966185672577544
65,0.37071477728511615
66,0.3814485975058848
67,0.39185023988156115
68,0.4019070316131599
69,0.4116067200490868
70,0.42093748761310473
71,0.4298879662022319
72,0.43844725103702215
73,0.4466049139473618
74,0.45435101607758643
75,0.4616761199954452
76,0.46857130119016
77,0.4750281589455671
78,0.4810388265750932
79,0.48659598100610524
80,0.4916928517019419
81,0.49632322891077413
82,0.5004814712312271
83,0.5041625124855613
84,0.5073618678920297
85,0.510075639528893
86,0.5123005210834348
87,0.5140338018801991
88,0.5152733701835259
89,0.5160177157703779
90,0.5162659317703155
